k,l,r,r_effective,partitions,initial_cost,final_cost,time,lloyd_time,num effective lloyd iters,seed,cost_history,iter_times,n_centroids_history,workers,l_over_k
500,250,5,5,64,703483.272380895,571877.7524273156,48.0848114490509,31.118299961090088,15,46,"[703483.272380895, 607435.0804880214, 593029.6924381279, 586242.7510662132, 582489.0434268239, 580171.0601380138, 578556.6164737158, 577348.4742503428, 576469.794891106, 575796.7239603875, 575086.328481482, 574369.0570996708, 573683.6289882669, 572694.438376027, 572268.4792996994]","[14.294731140136719, 1.1537065505981445, 1.0991168022155762, 1.507373571395874, 1.1427717208862305, 1.147505760192871, 1.167649269104004, 1.1497828960418701, 1.1631791591644287, 1.1590392589569092, 1.1928174495697021, 1.1797423362731934, 1.2053968906402588, 1.1915779113769531, 1.1617796421051025]","[225, 444, 669, 925, 1183]",8,0.5
500,250,5,5,64,695302.2411605325,573956.0277330494,42.671788930892944,24.797959804534912,10,47,"[695302.2411605325, 600451.7552896781, 587718.0857633159, 581991.0888494309, 579069.7930953611, 577163.4362496083, 576187.0900230472, 575481.4349716267, 574892.7837048268, 574357.0002835322]","[14.361750841140747, 1.1602389812469482, 1.149231195449829, 1.134617805480957, 1.1379799842834473, 1.0939881801605225, 1.1407074928283691, 1.1372101306915283, 1.168004035949707, 1.1895511150360107]","[240, 459, 700, 944, 1222]",8,0.5
500,250,5,5,64,735094.0812251499,579295.7817245128,46.899062156677246,30.125728607177734,15,48,"[735094.0812251499, 614696.9087190736, 600902.4795591708, 594949.7026109924, 591171.4362566294, 588789.9089481279, 586560.4545258867, 584679.5809642953, 583615.7325137774, 582772.5769933871, 582003.0938072787, 581238.4603771012, 580691.7186832336, 580226.1516247094, 579669.5777067952]","[14.198901176452637, 1.078134298324585, 1.0734353065490723, 1.1592226028442383, 1.1668701171875, 1.0976347923278809, 1.0806961059570312, 1.1156642436981201, 1.0930473804473877, 1.2385106086730957, 1.098954677581787, 1.1591503620147705, 1.1424188613891602, 1.1486003398895264, 1.0802021026611328]","[224, 443, 686, 930, 1190]",8,0.5
500,250,5,5,64,697492.218541592,577733.2662405766,42.18187642097473,25.260382175445557,11,49,"[697492.218541592, 604673.43343432, 593059.1456273656, 588793.1201714772, 585295.6681075494, 583259.905401755, 581900.5001874366, 580830.2449443706, 579892.7314002728, 579068.4837011411, 578325.7243328579]","[13.8775475025177, 1.2942805290222168, 1.0989189147949219, 1.1311862468719482, 1.188171148300171, 1.129324197769165, 1.1264708042144775, 1.0613224506378174, 1.0836479663848877, 1.060743808746338, 1.088700532913208]","[237, 456, 693, 909, 1172]",8,0.5
500,250,5,5,64,692246.4406751948,582977.2043929469,38.598872423172,21.57087206840515,8,50,"[692246.4406751948, 605097.7859404223, 593909.1200790115, 589359.1546978981, 586805.1095133811, 585400.4923106886, 584352.3737161116, 583612.2073173532]","[13.911086797714233, 1.110821008682251, 1.1451694965362549, 1.1375842094421387, 1.0477550029754639, 1.0323362350463867, 1.0420641899108887, 1.0463006496429443]","[231, 430, 693, 948, 1203]",8,0.5
500,250,5,5,64,713407.04698014,577341.5879889838,41.4953875541687,24.686479330062866,10,51,"[713407.04698014, 607160.7219426217, 593592.0511967296, 587315.7171643311, 584218.5705290749, 582473.9059273216, 580762.4051562876, 579143.7034417404, 578279.4390598675, 577735.3832359132]","[13.738436698913574, 1.4810237884521484, 1.124398946762085, 1.1196622848510742, 1.1810829639434814, 1.13946533203125, 1.1427414417266846, 1.2009916305541992, 1.2128839492797852, 1.2109277248382568]","[228, 456, 710, 945, 1170]",8,0.5
500,500,5,5,64,630226.3290424168,573382.1817666676,45.08422255516052,25.728764533996582,10,42,"[630226.3290424168, 592044.1606889975, 584759.9943047815, 581105.7138513797, 578672.5351198643, 577192.6528990035, 575859.3833511068, 574818.7911945304, 574140.8466678645, 573665.664993187]","[14.27073621749878, 1.2297494411468506, 1.2769527435302734, 1.2749364376068115, 1.2949934005737305, 1.2722465991973877, 1.2560949325561523, 1.2317466735839844, 1.2688305377960205, 1.2633631229400635]","[425, 865, 1353, 1858, 2334]",8,1
500,500,5,5,64,623550.5637228421,570630.0810660947,44.528855085372925,24.153132677078247,9,43,"[623550.5637228421, 586385.5350123923, 580078.195186803, 576900.0826976503, 574837.7982769903, 573448.5229378626, 572583.3348882012, 571881.9090438441, 571232.5580963062]","[13.942230939865112, 1.2424132823944092, 1.2259209156036377, 1.2583668231964111, 1.246875286102295, 1.2491655349731445, 1.2630572319030762, 1.296415090560913, 1.3378212451934814]","[439, 860, 1344, 1855, 2345]",8,1
500,500,5,5,64,623427.1532834533,569230.108127068,42.58034801483154,23.198528051376343,9,44,"[623427.1532834533, 586560.898250199, 580222.5943007645, 576625.3328237281, 574407.0486296165, 572705.9786036507, 571497.1506456425, 570571.4205218622, 569782.1108257232]","[13.763649702072144, 1.083961009979248, 1.1604654788970947, 1.1708590984344482, 1.1548771858215332, 1.1747076511383057, 1.1707875728607178, 1.1939263343811035, 1.2088570594787598]","[417, 841, 1328, 1813, 2285]",8,1
500,500,5,5,64,620704.4870946659,567675.682956109,47.556201457977295,27.724316358566284,11,45,"[620704.4870946659, 585792.8825919674, 579135.4757386172, 575854.2388276836, 573732.1451074891, 571952.3060820625, 570369.6329459274, 569524.6689644903, 568938.0406591607, 568364.3400846642, 567943.6595778046]","[15.05265760421753, 1.2408699989318848, 1.2461555004119873, 1.2279064655303955, 1.1772055625915527, 1.195730447769165, 1.3513474464416504, 1.2264978885650635, 1.2742149829864502, 1.2876193523406982, 1.3379344940185547]","[407, 827, 1305, 1799, 2324]",8,1
