artifact,method,k,l,r,l_over_k,partitions,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed
fig51,kmeans||,17,17,2,1,64,exact,4,46,2,4708882.883360865,4250550.817839017,10,3.0640439987182617,4.0253586769104,False
fig51,kmeans||,17,17,2,1,64,exact,5,47,2,4501799.076887696,4151785.575139645,6,2.631769895553589,4.034770727157593,False
fig51,kmeans||,17,17,2,1,64,exact,6,48,2,5560246.234901818,4511125.188873842,9,2.7865495681762695,4.65871524810791,False
fig51,kmeans||,17,17,2,1,64,exact,7,49,2,4490988.851718525,3867901.378496738,11,3.383338451385498,5.662160873413086,False
fig51,kmeans||,17,17,2,1,64,exact,8,50,2,4277215.443400633,3886920.8314873576,11,2.996236801147461,5.418478727340698,False
fig51,kmeans||,17,17,2,1,64,exact,9,51,2,4332467.7723372895,3813601.5007642144,12,3.2729527950286865,4.164042949676514,False
fig51,kmeans||,17,17,2,1,64,exact,10,52,2,4894248.022007972,4113732.0066064037,20,2.898663282394409,13.684936046600342,False
fig51,kmeans||,17,17,3,1,64,exact,0,42,3,4264291.638592575,3972849.3961356655,14,3.548117160797119,5.762548923492432,False
fig51,kmeans||,17,17,3,1,64,exact,1,43,3,4184057.350189536,3869859.4996004202,12,3.1028923988342285,6.435702800750732,False
fig51,kmeans||,17,17,3,1,64,exact,2,44,3,4053047.957753526,3679150.181882417,12,2.9310662746429443,5.238175868988037,False
fig51,kmeans||,17,17,3,1,64,exact,3,45,3,3939649.8419607393,3737883.5784296235,11,3.4432120323181152,6.1510162353515625,False
fig51,kmeans||,17,17,3,1,64,exact,4,46,3,4137818.4349357393,3964788.1096001244,8,3.035555362701416,2.9720022678375244,False
fig51,kmeans||,17,17,3,1,64,exact,5,47,3,3951252.076616688,3643149.2267172975,8,3.4273288249969482,2.79325795173645,False
fig51,kmeans||,17,17,3,1,64,exact,6,48,3,4215488.831172522,3873564.9436922246,10,3.269904613494873,3.0710036754608154,False
fig51,kmeans||,17,17,3,1,64,exact,7,49,3,4243093.931539713,4041953.9103301917,10,3.1697752475738525,3.1071436405181885,False
fig51,kmeans||,17,17,3,1,64,exact,8,50,3,4042433.969794853,3811983.155935019,11,3.7058353424072266,3.4320285320281982,False
fig51,kmeans||,17,17,3,1,64,exact,9,51,3,4258418.042845612,3919176.56663999,16,3.26247239112854,7.085477113723755,False
fig51,kmeans||,17,17,3,1,64,exact,10,52,3,4051649.5191437723,3739455.294291157,11,3.42999267578125,5.668349027633667,False
fig51,kmeans||,17,17,4,1,64,exact,0,42,4,3818745.701829404,3629657.3117676624,11,3.2529189586639404,5.603598594665527,False
fig51,kmeans||,17,17,4,1,64,exact,1,43,4,3915806.1551808114,3808316.6723767747,10,3.677835702896118,3.221083164215088,False
fig51,kmeans||,17,17,4,1,64,exact,2,44,4,4200326.509997135,4065991.932788554,15,3.866582155227661,8.085867166519165,False
