artifact,method,R,n,d,k,l,r,l_over_k,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed
fig52,kmeans||,1,10000,15,50,5.0,3.0,0.1,bernoulli,3,45,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,3.0,0.1,bernoulli,4,46,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,3.0,0.1,bernoulli,5,47,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,3.0,0.1,bernoulli,6,48,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,3.0,0.1,bernoulli,7,49,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,3.0,0.1,bernoulli,8,50,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,3.0,0.1,bernoulli,9,51,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,3.0,0.1,bernoulli,10,52,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,0,42,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,1,43,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,2,44,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,3,45,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,4,46,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,5,47,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,6,48,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,7,49,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,8,50,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,9,51,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,4.0,0.1,bernoulli,10,52,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,0,42,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,1,43,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,2,44,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,3,45,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,4,46,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,5,47,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,6,48,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,7,49,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,8,50,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,9,51,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,5.0,0.1,bernoulli,10,52,,,,,,,True
