artifact,method,R,n,d,k,l,r,l_over_k,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed
fig52,kmeans||,1,10000,15,50,50.0,11.0,1.0,bernoulli,10,52,11.0,166169.2481456988,144530.28431051836,24.0,0.31607794761657715,0.9126710891723633,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,0,42,12.0,166054.9014162663,144461.0052621191,31.0,0.6472897529602051,1.4381382465362549,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,1,43,12.0,167555.37303772874,143887.22075357588,38.0,0.6917872428894043,2.2798783779144287,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,2,44,12.0,167848.0188180526,144759.6598584732,45.0,0.5374624729156494,2.764317512512207,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,3,45,12.0,168678.7392419446,143695.73754265954,39.0,0.549504280090332,0.9790499210357666,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,4,46,12.0,166613.35685215794,143665.61048128107,17.0,0.273653507232666,1.4876055717468262,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,5,47,12.0,172329.05709222908,144025.05557684856,43.0,0.3731684684753418,2.9042088985443115,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,6,48,12.0,167439.64570148019,143998.4126572875,38.0,0.45037293434143066,2.3563051223754883,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,7,49,12.0,164793.79366911523,143564.5679345895,33.0,0.5758466720581055,1.2459886074066162,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,8,50,12.0,165111.76498464742,143417.91755655338,61.0,0.5832931995391846,3.6364917755126953,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,9,51,12.0,164746.31677297488,143361.51159872726,38.0,0.38976478576660156,2.8388442993164062,False
fig52,kmeans||,1,10000,15,50,50.0,12.0,1.0,bernoulli,10,52,12.0,165769.11369190135,144083.86568993228,32.0,0.26032423973083496,1.5155532360076904,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,0,42,13.0,166117.9832245381,143951.16383382046,47.0,0.6418161392211914,1.6083974838256836,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,1,43,13.0,165396.65759067057,144348.37582313415,33.0,0.5822441577911377,1.4539785385131836,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,2,44,13.0,165896.80580157836,143474.4587198926,40.0,0.38599586486816406,2.886141061782837,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,3,45,13.0,165554.9814784066,144800.1684551543,18.0,0.40186190605163574,0.8307991027832031,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,4,46,13.0,163678.83541587112,144379.48911983904,47.0,0.29437685012817383,1.929091453552246,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,5,47,13.0,166184.2298840041,144107.90442528517,66.0,0.3207271099090576,3.7524900436401367,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,6,48,13.0,162587.43173153925,144058.6641257994,26.0,0.7254548072814941,1.4144155979156494,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,7,49,13.0,167922.71358901868,144857.41140878067,18.0,0.320659875869751,1.1894688606262207,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,8,50,13.0,164858.44314069612,143851.2620865722,40.0,0.7339017391204834,2.723642349243164,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,9,51,13.0,162612.96203717648,143387.47230943956,28.0,0.4367513656616211,1.9225437641143799,False
fig52,kmeans||,1,10000,15,50,50.0,13.0,1.0,bernoulli,10,52,13.0,163536.66634030378,143490.5282297912,40.0,0.514214277267456,2.5943281650543213,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,0,42,14.0,166390.83281601992,144699.1494598046,39.0,0.6935081481933594,1.0381851196289062,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,1,43,14.0,166224.40323339903,144310.6516900228,46.0,0.6288211345672607,2.3579626083374023,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,2,44,14.0,167053.56794927904,144055.19491369236,22.0,0.7037868499755859,0.8132612705230713,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,3,45,14.0,165604.04479124735,143954.15001464201,66.0,0.41097021102905273,3.7629916667938232,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,4,46,14.0,165730.74798574316,144387.68902825174,27.0,0.447265625,0.8870701789855957,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,5,47,14.0,163688.6421332267,146036.53290585298,71.0,0.2775273323059082,2.3825747966766357,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,6,48,14.0,165198.1308041133,144116.57144211343,35.0,0.9170491695404053,2.3039045333862305,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,7,49,14.0,167528.17534999765,143944.51241124392,21.0,0.5340919494628906,0.6493330001831055,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,8,50,14.0,164476.64782544266,144401.2879568204,47.0,0.8595659732818604,2.2075626850128174,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,9,51,14.0,163789.63820113198,144902.92824424696,48.0,0.5716001987457275,3.0564136505126953,False
fig52,kmeans||,1,10000,15,50,50.0,14.0,1.0,bernoulli,10,52,14.0,160600.65856554933,143966.82492148934,28.0,0.43932509422302246,0.9010791778564453,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,0,42,15.0,164794.46337903955,143822.37323708404,24.0,0.42819833755493164,1.1945853233337402,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,1,43,15.0,167810.24114127405,145763.06618424313,53.0,0.705697774887085,2.516719341278076,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,2,44,15.0,164043.50043120622,143441.7853818386,38.0,0.4877321720123291,2.6037566661834717,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,3,45,15.0,163510.25257109804,144528.94249626555,31.0,0.4064946174621582,1.3155462741851807,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,4,46,15.0,163290.20491911643,144087.6235358224,36.0,0.4400632381439209,1.8862216472625732,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,5,47,15.0,164844.53636246963,143380.69038386963,39.0,0.26064276695251465,1.0160400867462158,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,6,48,15.0,161722.57805377664,143389.33787548429,22.0,0.7785582542419434,0.7906358242034912,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,7,49,15.0,164884.27271784842,143774.53530283502,43.0,0.5310280323028564,2.7857203483581543,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,8,50,15.0,163744.16671780523,144201.40061165526,48.0,0.4754371643066406,1.9887073040008545,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,9,51,15.0,163161.7139373993,144422.01959425875,30.0,0.48666882514953613,1.2752161026000977,False
fig52,kmeans||,1,10000,15,50,50.0,15.0,1.0,bernoulli,10,52,15.0,158068.08428312372,143608.12355440907,26.0,0.3241724967956543,1.4039835929870605,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,0,42,0.0,233607.185143099,143869.55467704526,37.0,0.0211179256439209,2.098930835723877,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,1,43,0.0,229041.86799252656,144819.57738847376,51.0,0.021429061889648438,2.1953516006469727,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,2,44,0.0,232125.56681468364,142947.23405671126,37.0,0.019820451736450195,1.2763142585754395,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,3,45,0.0,241133.97974930896,144245.97833695874,70.0,0.020231962203979492,2.6511502265930176,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,4,46,0.0,235899.24953818426,144368.12163175447,40.0,0.020074129104614258,2.2007815837860107,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,5,47,0.0,231816.57786928586,144244.81332554016,40.0,0.02112269401550293,1.3473153114318848,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,6,48,0.0,235063.60500962805,145058.11721723544,61.0,0.02032756805419922,3.0880722999572754,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,7,49,0.0,232622.0944739139,144998.87056759582,33.0,0.020178556442260742,1.0422523021697998,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,8,50,0.0,226772.57671175437,145342.87180807575,28.0,0.02022695541381836,1.2836625576019287,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,9,51,0.0,237214.44208288338,143317.62734468546,51.0,0.02044367790222168,2.6205599308013916,False
fig52,kmeans||,1,10000,15,50,100.0,0.0,2.0,bernoulli,10,52,0.0,227018.4730972204,143622.45684095527,34.0,0.02013230323791504,0.7499039173126221,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,0,42,1.0,206362.79012802744,143941.45847287535,23.0,0.06773972511291504,0.42031264305114746,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,1,43,1.0,200762.16076451814,143046.78179850115,27.0,0.07808303833007812,1.4972412586212158,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,2,44,1.0,208835.7834544234,143773.59212822837,35.0,0.07010221481323242,1.376138687133789,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,3,45,1.0,201167.3078109483,143762.295776696,38.0,0.09556984901428223,1.9507105350494385,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,4,46,1.0,217886.13743981486,145016.89178837196,68.0,0.06902289390563965,2.365874767303467,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,5,47,1.0,206653.29651484505,143352.47547441107,28.0,0.09794807434082031,1.5262854099273682,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,6,48,1.0,210773.33290535945,143342.88874667961,41.0,0.0908806324005127,0.6649563312530518,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,7,49,1.0,209663.813969142,145468.6721221475,35.0,0.09134316444396973,1.5180628299713135,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,8,50,1.0,210731.4087841585,145367.91550991518,37.0,0.07040286064147949,0.47408461570739746,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,9,51,1.0,205933.62795596966,144337.4997857711,51.0,0.08522486686706543,1.2795591354370117,False
fig52,kmeans||,1,10000,15,50,100.0,1.0,2.0,bernoulli,10,52,1.0,209060.2806541802,144105.3585534862,48.0,0.09775328636169434,2.087671995162964,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,0,42,2.0,185657.30015768425,143434.15228546457,25.0,0.06911015510559082,1.1714391708374023,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,1,43,2.0,187386.43232893076,143796.4282361483,27.0,0.09329485893249512,2.686246395111084,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,2,44,2.0,191715.6109633561,143114.76276249383,33.0,0.11443686485290527,2.4797985553741455,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,3,45,2.0,186117.64093389577,144177.8163731151,52.0,0.08373093605041504,2.7099945545196533,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,4,46,2.0,194769.3493745512,144629.977167111,30.0,0.11787009239196777,1.1968069076538086,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,5,47,2.0,187279.9055831291,143658.0280444411,45.0,0.11118125915527344,2.3406338691711426,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,6,48,2.0,189603.72039641725,144904.51627310843,40.0,0.10707426071166992,1.8406200408935547,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,7,49,2.0,189208.82156016288,144941.49262116768,31.0,0.11496567726135254,1.7642881870269775,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,8,50,2.0,187834.77121582054,143793.41089783542,48.0,0.10951805114746094,3.3177731037139893,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,9,51,2.0,187020.00523507423,144014.35518638388,43.0,0.11398029327392578,2.9932732582092285,False
fig52,kmeans||,1,10000,15,50,100.0,2.0,2.0,bernoulli,10,52,2.0,186025.02635123406,144287.51009758364,38.0,0.10928082466125488,3.1564080715179443,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,0,42,3.0,180972.9760235928,144381.49040878814,24.0,0.15206074714660645,2.167811155319214,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,1,43,3.0,180982.263551863,143693.5951777165,32.0,0.16817188262939453,2.0819220542907715,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,2,44,3.0,179764.9392062217,143466.7241056107,46.0,0.10771489143371582,2.7116448879241943,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,3,45,3.0,177971.9904223297,142966.30069896096,40.0,0.1047966480255127,3.0323171615600586,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,4,46,3.0,182921.20692435096,143895.42013290906,29.0,0.16214799880981445,1.3601853847503662,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,5,47,3.0,178034.83784020995,143362.3846381543,36.0,0.10535240173339844,2.2868714332580566,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,6,48,3.0,178938.37030870904,144542.48875505276,25.0,0.1250760555267334,1.4765398502349854,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,7,49,3.0,177360.80725199764,143667.61506094344,45.0,0.12803268432617188,2.3823225498199463,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,8,50,3.0,177784.44349810388,144566.89478817384,23.0,0.17263126373291016,1.7383437156677246,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,9,51,3.0,179741.20561801104,144688.18481497187,45.0,0.11935186386108398,3.2109997272491455,False
fig52,kmeans||,1,10000,15,50,100.0,3.0,2.0,bernoulli,10,52,3.0,180003.44808261853,144476.70092202676,56.0,0.13059282302856445,2.936018705368042,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,0,42,4.0,171993.35052330518,143686.225951636,37.0,0.13249421119689941,1.7718491554260254,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,1,43,4.0,174049.79007641348,143673.8191784132,28.0,0.15932440757751465,2.2959396839141846,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,2,44,4.0,177083.89171664233,145275.4092305336,26.0,0.21307802200317383,1.301732063293457,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,3,45,4.0,172954.70152667793,144040.16319320744,32.0,0.13774871826171875,1.2490551471710205,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,4,46,4.0,175053.7870680623,145320.59528963992,34.0,0.15552163124084473,1.8670268058776855,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,5,47,4.0,173032.6058202752,143091.30025708376,23.0,0.14135432243347168,0.6842865943908691,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,6,48,4.0,172869.841324114,143600.45716490486,28.0,0.18125271797180176,2.115532398223877,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,7,49,4.0,170761.73498871105,144014.82605391683,32.0,0.191788911819458,1.9195892810821533,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,8,50,4.0,174113.39569503025,144363.89599799528,30.0,0.14644503593444824,1.2894182205200195,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,9,51,4.0,172702.6686486041,143746.1565432832,49.0,0.1269979476928711,1.1944897174835205,False
fig52,kmeans||,1,10000,15,50,100.0,4.0,2.0,bernoulli,10,52,4.0,173975.13338805918,145319.34502453005,29.0,0.14040517807006836,0.643052339553833,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,0,42,5.0,169474.55118064082,146480.11635964148,26.0,0.20854496955871582,0.8872358798980713,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,1,43,5.0,168433.0869199996,144159.82219037754,46.0,0.22489690780639648,1.525489330291748,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,2,44,5.0,172118.14248468442,145140.25003437477,33.0,0.12737536430358887,1.678431749343872,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,3,45,5.0,170633.03322939522,143099.12837316576,25.0,0.15614533424377441,0.32860827445983887,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,4,46,5.0,172010.81636472288,144376.17271258094,23.0,0.13545727729797363,0.848482608795166,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,5,47,5.0,170818.35114938676,144091.01642619882,41.0,0.18318891525268555,2.363417863845825,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,6,48,5.0,169715.74412127907,144322.89940913243,29.0,0.2530975341796875,1.2801556587219238,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,7,49,5.0,169297.60478927888,143813.50194218845,38.0,0.12714481353759766,1.5801289081573486,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,8,50,5.0,173362.76308124405,144671.32872603295,29.0,0.2274324893951416,1.7173199653625488,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,9,51,5.0,171175.8244332951,144003.50126513845,34.0,0.174940824508667,1.0988824367523193,False
fig52,kmeans||,1,10000,15,50,100.0,5.0,2.0,bernoulli,10,52,5.0,171172.40021175132,144708.3160895736,31.0,0.21953368186950684,1.7740066051483154,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,0,42,6.0,167301.0959517919,144545.3312662398,32.0,0.31505703926086426,1.6996300220489502,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,1,43,6.0,166915.86391635265,145547.22514910475,34.0,0.22057008743286133,1.556650161743164,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,2,44,6.0,170158.14121602481,145289.07353045742,29.0,0.1671125888824463,1.6198453903198242,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,3,45,6.0,166290.21707365254,144235.64062168542,33.0,0.2873866558074951,1.145172357559204,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,4,46,6.0,170068.75657957682,144204.94384643252,22.0,0.23615670204162598,1.7278101444244385,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,5,47,6.0,168267.31401890088,143638.94598316113,42.0,0.23886656761169434,2.711454391479492,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,6,48,6.0,168447.9426385683,143304.21950447158,38.0,0.288022518157959,2.6874067783355713,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,7,49,6.0,166521.22229357672,144115.1465995129,30.0,0.27390265464782715,2.2241857051849365,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,8,50,6.0,168861.55331054743,144104.0170564271,27.0,0.23410725593566895,1.8334712982177734,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,9,51,6.0,165128.53860531037,144957.44495173497,49.0,0.189924955368042,3.5273005962371826,False
fig52,kmeans||,1,10000,15,50,100.0,6.0,2.0,bernoulli,10,52,6.0,165320.54372603534,143686.69221693522,27.0,0.3171365261077881,0.7830352783203125,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,0,42,7.0,164280.01346704198,143963.4413732589,24.0,0.26029133796691895,1.602851390838623,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,1,43,7.0,162787.16285855146,143375.83697457815,44.0,0.2661592960357666,2.2904982566833496,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,2,44,7.0,166469.50861883914,143244.09584600714,40.0,0.2636997699737549,3.086320400238037,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,3,45,7.0,164446.3006729908,143483.3440364268,37.0,0.19167590141296387,2.0560123920440674,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,4,46,7.0,163414.94930169813,145543.12901311915,28.0,0.20948100090026855,2.456174612045288,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,5,47,7.0,163892.55572734674,143976.1150066947,49.0,0.3078763484954834,2.89327073097229,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,6,48,7.0,166465.20331267902,143593.31538554578,51.0,0.31389760971069336,2.2591495513916016,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,7,49,7.0,163159.7285925393,144177.1063497569,29.0,0.28299880027770996,2.192140817642212,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,8,50,7.0,164850.0090070015,144158.6744518493,52.0,0.27210450172424316,2.0463860034942627,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,9,51,7.0,161830.2525912137,144960.41055323515,50.0,0.24715876579284668,2.7081379890441895,False
fig52,kmeans||,1,10000,15,50,100.0,7.0,2.0,bernoulli,10,52,7.0,163497.27815577734,144671.75826126256,25.0,0.2505950927734375,0.8960118293762207,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,0,42,8.0,161438.88259793833,143799.21651190356,24.0,0.2225940227508545,1.4212548732757568,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,1,43,8.0,160920.58723059605,143415.39066558785,30.0,0.28516125679016113,1.55391526222229,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,2,44,8.0,163112.27565138592,144747.4856432975,35.0,0.2807157039642334,2.6598012447357178,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,3,45,8.0,164812.53334568723,144609.3004765529,29.0,0.1843729019165039,1.302980661392212,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,4,46,8.0,161446.13848069814,145093.44316446874,25.0,0.2587602138519287,1.1733298301696777,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,5,47,8.0,163606.56034044045,142959.25170962326,31.0,0.31586194038391113,1.5229430198669434,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,6,48,8.0,162634.58295033712,144308.38237635448,25.0,0.18926763534545898,1.5128309726715088,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,7,49,8.0,160387.30503497605,143994.2211762966,32.0,0.2937769889831543,1.9343757629394531,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,8,50,8.0,163031.54339390955,144729.1851257306,27.0,0.19664788246154785,1.5677564144134521,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,9,51,8.0,162190.44025471187,144803.5945833716,18.0,0.20060110092163086,0.8862218856811523,False
fig52,kmeans||,1,10000,15,50,100.0,8.0,2.0,bernoulli,10,52,8.0,164201.68038564204,144898.01465143845,45.0,0.22248578071594238,0.9334702491760254,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,0,42,9.0,161250.0720948922,144535.85532457745,30.0,0.3587493896484375,1.786325454711914,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,1,43,9.0,158284.3287362229,143467.83783793534,27.0,0.2920200824737549,1.4624135494232178,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,2,44,9.0,160772.51238996146,144998.27636208106,51.0,0.2202303409576416,2.610609769821167,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,3,45,9.0,158496.81584359892,143618.63634632653,21.0,0.3265352249145508,2.0382771492004395,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,4,46,9.0,162792.36925865844,144751.82564243878,25.0,0.3762698173522949,1.1221017837524414,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,5,47,9.0,159778.96147363173,144337.78691026915,34.0,0.27040719985961914,1.3829450607299805,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,6,48,9.0,161485.80215989644,144965.881533479,48.0,0.30033349990844727,2.219822645187378,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,7,49,9.0,160767.7101939941,144964.5658870115,37.0,0.34342432022094727,1.6752808094024658,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,8,50,9.0,163648.96805886013,143077.52240783558,43.0,0.3463003635406494,2.7586348056793213,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,9,51,9.0,161318.10850316595,144132.75516427425,34.0,0.21486353874206543,2.375953197479248,False
fig52,kmeans||,1,10000,15,50,100.0,9.0,2.0,bernoulli,10,52,9.0,159647.76418151575,145170.85157419796,27.0,0.336240291595459,1.6626319885253906,False
fig52,kmeans||,1,10000,15,50,100.0,10.0,2.0,bernoulli,0,42,10.0,156023.60218710068,144094.2740733414,18.0,0.19570136070251465,0.8915739059448242,False
fig52,kmeans||,1,10000,15,50,100.0,10.0,2.0,bernoulli,1,43,10.0,156893.37863617827,144714.07198647741,41.0,0.3120579719543457,2.423569679260254,False
fig52,kmeans||,1,10000,15,50,100.0,10.0,2.0,bernoulli,2,44,10.0,159488.5178408062,144010.87820057935,43.0,0.28921961784362793,2.2821457386016846,False
fig52,kmeans||,1,10000,15,50,100.0,10.0,2.0,bernoulli,3,45,10.0,161217.12060173677,144198.24556938384,42.0,0.31047892570495605,2.1383533477783203,False
fig52,kmeans||,1,10000,15,50,100.0,10.0,2.0,bernoulli,4,46,10.0,159336.48894662477,144413.79353747965,35.0,0.3527045249938965,2.286369800567627,False
fig52,kmeans||,1,10000,15,50,100.0,10.0,2.0,bernoulli,5,47,10.0,157299.979445353,143578.7951799745,32.0,0.30873775482177734,0.5061612129211426,False
fig52,kmeans||,1,10000,15,50,100.0,10.0,2.0,bernoulli,6,48,10.0,161303.38668806662,144095.77078708637,39.0,0.36853551864624023,2.518728256225586,False
fig52,kmeans||,1,10000,15,50,100.0,10.0,2.0,bernoulli,7,49,10.0,159566.63700811742,144067.02343962397,30.0,0.35007596015930176,2.309718132019043,False
fig52,kmeans||,1,10000,15,50,100.0,10.0,2.0,bernoulli,8,50,10.0,159797.49170054914,143814.16852750318,22.0,0.3488898277282715,0.6901242733001709,False
