k,l,r,r_effective,partitions,initial_cost,final_cost,time,lloyd_time,num effective lloyd iters,seed,cost_history,iter_times,n_centroids_history,workers,l_over_k
1000,1,0,0,64,65732282.25443083,25015847.444944058,68.76683735847473,56.03500008583069,20,42,"[65732282.25443083, 62739658.81019444, 56440972.9550272, 41156720.71324967, 35047168.71353024, 34826583.797127634, 34739275.692078106, 34231234.56453198, 33614953.3211306, 32984074.6684606, 32825328.712162953, 32712287.506800093, 32582883.10347706, 32337225.98757134, 32105412.675206505, 31862535.918062933, 30657956.919843912, 29471453.012006797, 29100697.43011626, 28360469.95219491]","[14.614561080932617, 2.161266565322876, 2.2024388313293457, 2.1002659797668457, 2.123037099838257, 2.142551898956299, 2.1378374099731445, 2.1473500728607178, 2.144265651702881, 2.351513624191284, 2.1208837032318115, 2.1722898483276367, 2.184901237487793, 2.1601884365081787, 2.1878979206085205, 2.1553127765655518, 2.1890039443969727, 2.147183656692505, 2.181891918182373, 2.167450428009033]",[],8,0
1000,1,0,0,64,71131764.17817888,19836317.211023502,73.91845726966858,59.622331619262695,20,43,"[71131764.17817888, 66234694.7191142, 51753665.660451636, 39746557.18912687, 38116711.78159196, 34804411.261336565, 32456580.38907313, 30672576.758730724, 25164040.93298501, 24627589.259993665, 24295731.42622324, 24142690.295698877, 24015600.516956206, 23888136.69490978, 23820933.674482703, 23591718.086189773, 23367500.63972358, 22910185.503653046, 21146219.738059938, 20230654.643019684]","[16.243862867355347, 2.384190797805786, 2.1204710006713867, 2.202073335647583, 2.1995227336883545, 2.1937568187713623, 2.238098621368408, 2.253669261932373, 2.1242260932922363, 2.2161834239959717, 2.1946325302124023, 2.2619314193725586, 2.33768630027771, 2.2630584239959717, 2.2535948753356934, 2.7367782592773438, 2.2205445766448975, 2.244283676147461, 2.4498586654663086, 2.2408742904663086]",[],8,0
1000,1,0,0,64,77519455.91094238,29428343.968926113,70.29087138175964,56.88566780090332,20,44,"[77519455.91094238, 67666204.18388511, 56187636.22463597, 42602301.02156048, 34706940.386214, 34394803.2396172, 31988519.464278728, 30413051.212921724, 30232241.51330136, 30111055.38158664, 29993299.852452688, 29857578.198621217, 29800850.887156468, 29624662.609694064, 29484951.402493477, 29453042.579359148, 29448446.546111558, 29442649.63420713, 29435499.45012809, 29430729.177383862]","[15.291175842285156, 2.220611572265625, 2.301527738571167, 2.2002053260803223, 2.108409881591797, 2.1510508060455322, 2.1394262313842773, 2.1335105895996094, 2.28607439994812, 2.147012948989868, 2.1620936393737793, 2.1570889949798584, 2.1592442989349365, 2.129641056060791, 2.158860683441162, 2.1252191066741943, 2.1619975566864014, 2.1901910305023193, 2.228275775909424, 2.1642565727233887]",[],8,0
1000,1,0,0,64,76402306.3118755,24939417.36358149,70.232106924057,56.416133880615234,20,45,"[76402306.3118755, 68950486.30232468, 46309334.710084856, 41745507.59449045, 41213277.7817171, 40522777.59375167, 38388808.46196962, 33684429.57278258, 33020742.57388875, 32803793.266360648, 32227833.926281795, 31445041.764911782, 27894709.13670139, 27756997.355638396, 27645828.136490364, 27531630.676557932, 27480052.770044267, 27263693.971836552, 27046796.391349234, 26620511.9243961]","[15.207655668258667, 2.1409671306610107, 2.0479769706726074, 1.9576139450073242, 1.949094533920288, 2.0380616188049316, 2.0811827182769775, 2.1402130126953125, 2.1094772815704346, 2.1003434658050537, 2.114976644515991, 2.1340343952178955, 2.1174371242523193, 2.2259840965270996, 2.4519355297088623, 2.1992852687835693, 2.467235803604126, 2.235431432723999, 2.2399251461029053, 2.258751153945923]",[],8,0
1000,1,0,0,64,82815712.29998054,22955978.074659023,72.6360273361206,58.91528606414795,20,46,"[82815712.29998054, 72894570.80713677, 57911153.47542657, 46027297.749694, 37484768.79507394, 35247607.52211843, 34073147.11100077, 33436647.707772136, 32598621.27186108, 32339825.49313616, 32285727.314166557, 32238501.05486384, 32212892.560442828, 32195046.15762072, 32163723.68500562, 31920620.87462251, 31415385.730160795, 28989194.61229979, 23949268.881922442, 23150422.517321926]","[15.560347080230713, 2.157068967819214, 2.106224536895752, 2.164907455444336, 2.213782548904419, 2.253797769546509, 2.494091749191284, 2.3872873783111572, 2.365345001220703, 2.364332437515259, 2.3138153553009033, 2.345409870147705, 2.301771402359009, 2.2595107555389404, 2.2700562477111816, 2.2760818004608154, 2.273013114929199, 2.168477773666382, 2.2100586891174316, 2.2486753463745117]",[],8,0
1000,1,0,0,64,73050940.74372323,28161272.05520469,72.37278962135315,58.733176469802856,20,47,"[73050940.74372323, 67976855.48970246, 46258409.555237375, 38245698.96188622, 37562033.00238992, 37211366.24880521, 33864190.75578676, 33826542.167566314, 33807402.39028184, 33791722.02262661, 33775631.916172914, 33764341.38210323, 33497022.00014326, 30730048.102627803, 29747936.77094629, 29581816.888969682, 29081723.159067236, 28667733.771290034, 28374897.598978467, 28258285.190601543]","[15.398723363876343, 2.2333948612213135, 2.305657386779785, 2.2471859455108643, 2.296481132507324, 2.201582670211792, 2.1987342834472656, 2.209702253341675, 2.1815268993377686, 2.2381796836853027, 2.2553141117095947, 2.2262399196624756, 2.33056378364563, 2.242560386657715, 2.6736433506011963, 2.244826555252075, 2.4044039249420166, 2.1889724731445312, 2.2175965309143066, 2.266935110092163]",[],8,0
1000,1,0,0,64,73111378.23300181,24626196.176757738,69.62499690055847,56.56019616127014,20,48,"[73111378.23300181, 67728092.0213696, 53444158.00629041, 39767757.046712376, 38863422.79170415, 35889066.28761102, 35229254.0163334, 34384813.78014713, 31737446.621637877, 29868796.08922934, 26505536.520180214, 26187678.23709188, 26115946.277448006, 26106913.34714995, 26095379.07033412, 26068745.206743296, 25642708.29257414, 25232974.99289852, 24941982.487539988, 24803683.65229015]","[15.204072713851929, 2.1761956214904785, 2.1445796489715576, 2.182912588119507, 2.109426498413086, 2.723881244659424, 1.9964027404785156, 2.0082764625549316, 1.9597461223602295, 1.9613914489746094, 1.9383251667022705, 1.9910247325897217, 2.218815803527832, 2.173487663269043, 2.0356454849243164, 2.3231706619262695, 2.3608334064483643, 2.318789482116699, 2.227048873901367, 2.2881219387054443]",[],8,0
1000,1,0,0,64,76870522.55995727,19689814.912965015,73.73687672615051,59.77587866783142,20,49,"[76870522.55995727, 66292667.02030557, 44014579.31221601, 36600004.43560256, 30015987.924165025, 26342470.768383354, 24224918.985798333, 21826217.378161877, 21243270.86377189, 21222670.77879094, 21211535.794464193, 21205066.725953836, 21199802.73414569, 21169740.5285245, 20761604.89969626, 20295607.17914471, 20021853.99142084, 19927752.555209666, 19839508.347814105, 19735555.169663597]","[15.67566466331482, 2.220773935317993, 2.166818141937256, 2.230713129043579, 2.2915637493133545, 2.268489360809326, 2.259725332260132, 2.3340470790863037, 2.2824134826660156, 2.325822353363037, 2.283919334411621, 2.3190770149230957, 2.261920690536499, 2.1984167098999023, 2.2306747436523438, 2.3558952808380127, 2.3433897495269775, 2.5736019611358643, 2.6080660820007324, 2.371152877807617]",[],8,0
1000,1,0,0,64,77574149.62514953,29058133.661584288,72.05928087234497,58.2657310962677,20,50,"[77574149.62514953, 70529803.40550196, 50671577.47804156, 43415800.669918165, 36929457.32679486, 36122654.529532254, 34011880.19090076, 31772108.58657382, 31152766.578300014, 31103228.641982365, 31015917.130188752, 30900283.08436988, 30861265.543844283, 30689801.526560955, 30538765.155843295, 30073179.604986165, 29667733.66143195, 29370243.824351396, 29259443.05758698, 29165136.448742323]","[15.761173248291016, 2.239914655685425, 2.2486302852630615, 2.1690285205841064, 2.1657540798187256, 2.1704087257385254, 2.1959385871887207, 2.163447380065918, 2.402642250061035, 2.207658529281616, 2.2797250747680664, 2.273953914642334, 2.294961929321289, 2.2102723121643066, 2.20552659034729, 2.240966320037842, 2.205279588699341, 2.2045817375183105, 2.2316293716430664, 2.2030413150787354]",[],8,0
1000,1,0,0,64,72102837.91192953,14117111.665787142,73.41301369667053,59.890403270721436,20,51,"[72102837.91192953, 66055503.157968424, 50187080.53918832, 32515582.183374505, 28027813.34190529, 24956465.543666575, 24591913.800223757, 24484660.144896287, 24060604.394411057, 23621540.3310806, 23308980.573266115, 23106241.80921869, 18040638.374009863, 17900971.635117877, 17692638.96737588, 17342005.154646434, 17073725.897499997, 16630714.157862924, 14941539.437472705, 14119873.261701064]","[15.60570240020752, 2.60931134223938, 2.2835216522216797, 2.2858388423919678, 2.3232619762420654, 2.2338132858276367, 2.2486655712127686, 2.2898635864257812, 2.472245454788208, 2.234773635864258, 2.1909351348876953, 2.2724409103393555, 2.3139193058013916, 2.299901247024536, 2.2510077953338623, 2.331988573074341, 2.3600833415985107, 2.401073932647705, 2.3897459506988525, 2.3379251956939697]",[],8,0
