k,l,r,r_effective,partitions,initial_cost,final_cost,time,lloyd_time,num effective lloyd iters,seed,cost_history,iter_times,workers,l_over_k
500,500,5,5,32,626431.818943012,569045.85140192,67.6336088180542,37.5521895885468,9,50,"[626431.8189430117, 586540.7384138001, 579015.3223725045, 575798.5198292665, 573796.3871782492, 572258.5414557589, 571143.7322782333, 570163.8022105383, 569437.3913170161]","[23.921794652938843, 1.7340736389160156, 1.659855842590332, 1.722823143005371, 1.7066426277160645, 1.6821179389953613, 1.6727097034454346, 1.708944320678711, 1.6734812259674072]",4,1
500,500,5,5,32,623022.556988048,571098.476539861,74.5136277675629,40.538113117218,10,51,"[623022.5569880478, 588357.3117663041, 581789.2581870111, 578664.5303989288, 576539.3880549311, 574800.9215032281, 573494.330048097, 572596.8605141125, 571946.3624783757, 571451.5279702125]","[24.3909330368042, 1.7910912036895752, 1.7615303993225098, 1.7286202907562256, 1.7444589138031006, 1.7614164352416992, 1.7353203296661377, 2.0137922763824463, 1.7387280464172363, 1.774726390838623]",4,1
500,500,5,5,64,625853.757234113,570344.094966323,58.0399191379547,18.3812658786774,8,42,"[625853.757234113, 586212.3895775626, 579005.9060351435, 575808.9229813856, 573668.2704013013, 572409.1817316515, 571574.5628615874, 570931.1731978215]","[5.520754337310791, 1.7031760215759277, 1.8420121669769287, 1.989739179611206, 1.756868839263916, 1.779313564300537, 1.8227424621582031, 1.8995904922485352]",4,1
500,500,5,5,64,627309.587560357,574521.370537499,94.5571570396423,50.2199923992157,10,43,"[627309.587560357, 590378.7057756808, 583642.1828916591, 580616.5455068038, 578635.8312282653, 577321.9439652568, 576413.8544287178, 575735.3597426648, 575224.9657921721, 574830.1196133869]","[36.05336332321167, 1.5522611141204834, 1.5936694145202637, 1.5477185249328613, 1.589439868927002, 1.6277928352355957, 1.521608829498291, 1.576415777206421, 1.51387357711792, 1.5769667625427246]",4,1
500,500,5,5,64,626318.851739485,568070.733048732,83.3222362995148,51.1231722831726,10,44,"[626318.8517394854, 589004.972373494, 581924.104496666, 577566.0240226587, 574898.385639745, 572913.4279484287, 571282.0405671493, 570066.2453159563, 569157.6642144675, 568524.6697264728]","[36.11837196350098, 1.6438512802124023, 1.734046459197998, 1.616290807723999, 1.746530532836914, 1.7289388179779053, 1.636237382888794, 1.6004621982574463, 1.5568935871124268, 1.610865831375122]",4,1
500,500,5,5,64,618551.417436199,571536.204456232,75.1531097888947,42.6890099048615,7,45,"[618551.417436199, 584419.033114435, 578779.9899641189, 575717.4325038786, 574061.00565203, 573017.9428289845, 572228.537507703]","[33.10393977165222, 1.484809398651123, 1.5547254085540771, 1.5409588813781738, 1.5504286289215088, 1.9059641361236572, 1.4853334426879883]",4,1
500,500,5,5,64,626012.016820915,572991.90180549,90.7688167095184,47.6547470092773,9,46,"[626012.0168209153, 590754.5434723763, 583494.7799355414, 579532.1482457287, 577017.8009860857, 575618.8372069951, 574734.8608753185, 574037.4580869081, 573463.6117463209]","[33.5701048374176, 1.7773315906524658, 1.859771728515625, 1.8924667835235596, 1.758962631225586, 1.61195969581604, 1.971313238143921, 1.5900347232818604, 1.5655150413513184]",4,1
500,500,5,5,64,639619.315146089,578002.767955479,73.8723931312561,43.0709700584412,11,47,"[639619.3151460892, 599228.8588298663, 590961.0312599116, 586722.1461153979, 584265.5552806415, 582636.9442679455, 581473.3697080393, 580519.8320020174, 579754.7431778683, 579113.6636495688, 578468.0483163128]","[26.005756855010986, 1.5910160541534424, 1.783794641494751, 1.6458768844604492, 2.051206588745117, 1.6226553916931152, 1.6382510662078857, 1.6754775047302246, 1.686011791229248, 1.6778037548065186, 1.5913653373718262]",4,1
500,500,5,5,64,630774.523593277,569879.146525609,83.3617329597473,42.2365629673004,9,48,"[630774.5235932772, 589199.8142672171, 581430.3545898966, 577363.5356925909, 575051.9353502725, 573291.0094666801, 571906.1904018079, 570957.0509038124, 570277.0864167793]","[28.447380304336548, 1.8994204998016357, 1.9449994564056396, 1.8690474033355713, 1.6259920597076416, 1.5608079433441162, 1.5578639507293701, 1.550065279006958, 1.6645829677581787]",4,1
500,500,5,5,64,618069.408245804,562011.616278685,99.1637530326843,50.1130609512329,11,49,"[618069.4082458039, 582102.4645063322, 575554.6371021635, 571702.9954548709, 568830.6158816156, 566831.5156359485, 565631.0092280457, 564795.3219322151, 564032.2308546486, 562890.7717869204, 562368.4506391119]","[33.34377694129944, 1.667433261871338, 1.606877088546753, 1.5916883945465088, 1.6931157112121582, 1.6760845184326172, 1.6270883083343506, 1.6147849559783936, 1.5612974166870117, 1.9911494255065918, 1.5803391933441162]",4,1
