artifact,method,k,l,r,l_over_k,partitions,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed,time_total
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,2,44,5.0,59384.044821451775,54336.25623405289,19.0,4.0604658126831055,8.604536056518555,False,12.66500186920166
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,3,45,5.0,59491.976290117695,54276.91134177432,19.0,4.193403959274292,7.883879423141479,False,12.077283382415771
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,4,46,5.0,59699.674193989886,54322.75711354851,17.0,4.106629848480225,7.499308347702026,False,11.605938196182253
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,5,47,5.0,59940.36115139343,54193.68591506486,16.0,3.9447312355041504,7.032458305358887,False,10.977189540863035
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,6,48,5.0,59954.708205856376,54181.39920084772,15.0,4.097452163696289,4.312083721160889,False,8.409535884857178
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,7,49,5.0,60321.95460371334,54810.478088611984,13.0,4.288733959197998,6.215253591537476,False,10.503987550735474
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,8,50,5.0,59964.80395666575,54650.1723576647,15.0,3.720315456390381,6.385236740112305,False,10.105552196502686
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,9,51,5.0,59407.03478801638,54145.543656642505,15.0,3.817894458770752,5.967697858810425,False,9.785592317581177
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,10,52,5.0,60548.47796424354,55188.24984464582,22.0,4.003131151199341,8.367640018463135,False,12.370771169662476
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,0,42,5.0,56486.69385433148,54201.15278657412,13.0,4.925090312957764,4.23545503616333,False,9.160545349121094
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,1,43,5.0,56813.579877117765,54264.84634640281,16.0,5.272241115570068,6.553625822067261,False,11.825866937637327
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,2,44,5.0,56758.51758503806,54382.905112508415,16.0,4.948262691497803,6.318483352661133,False,11.266746044158936
